Order Date,Region,Category,Channel,Units Sold,Unit Price,Sales,Cost,Profit,Year,Month,Month Name,Quarter,Profit Margin %
2023-01-01,West,Home & Kitchen,Online,4,52.67,210.68,138.4,72.28,2023,1,Jan,1,34.31
2023-01-01,West,Sports & Fitness,Online,4,50.27,201.08,157.2,43.88,2023,1,Jan,1,21.82
2023-01-01,Central,Groceries,Retail Store,4,27.42,109.68,82.91,26.77,2023,1,Jan,1,24.41
2023-01-01,South,Groceries,Online,6,20.79,124.74,105.15,19.59,2023,1,Jan,1,15.7
2023-01-01,North,Electronics,Online,1,225.68,225.68,185.66,40.02,2023,1,Jan,1,17.73
2023-01-01,South,Apparel,Retail Store,5,38.69,193.45,138.5,54.95,2023,1,Jan,1,28.41
2023-01-01,South,Electronics,Distributor,6,173.78,1042.68,902.32,140.36,2023,1,Jan,1,13.46
2023-01-01,South,Home & Kitchen,Online,5,77.07,385.35,332.55,52.8,2023,1,Jan,1,13.7
2023-01-01,West,Home & Kitchen,Retail Store,4,68.99,275.96,215.71,60.25,2023,1,Jan,1,21.83
2023-01-01,South,Home & Kitchen,Retail Store,3,54.88,164.64,137.46,27.18,2023,1,Jan,1,16.51
2023-01-01,North,Apparel,Online,6,41.82,250.92,182.57,68.35,2023,1,Jan,1,27.24
2023-01-01,North,Sports & Fitness,Distributor,2,62.82,125.64,97.84,27.8,2023,1,Jan,1,22.13
2023-01-01,North,Home & Kitchen,Retail Store,1,71.75,71.75,60.33,11.42,2023,1,Jan,1,15.92
2023-01-01,South,Apparel,Retail Store,2,46.26,92.52,64.71,27.81,2023,1,Jan,1,30.06
2023-01-01,West,Electronics,Online,6,171.38,1028.28,780.78,247.5,2023,1,Jan,1,24.07
2023-01-01,North,Apparel,Online,6,54.65,327.9,261.65,66.25,2023,1,Jan,1,20.2
2023-01-02,Central,Groceries,Retail Store,7,19.38,135.66,91.34,44.32,2023,1,Jan,1,32.67
2023-01-02,Central,Apparel,Online,2,45.63,91.26,60.02,31.24,2023,1,Jan,1,34.23
2023-01-02,North,Groceries,Online,3,27.95,83.85,55.39,28.46,2023,1,Jan,1,33.94
2023-01-02,Central,Home & Kitchen,Retail Store,1,70.75,70.75,54.25,16.5,2023,1,Jan,1,23.32
2023-01-02,West,Home & Kitchen,Online,1,83.62,83.62,66.03,17.59,2023,1,Jan,1,21.04
2023-01-02,West,Electronics,Online,1,202.47,202.47,138.63,63.84,2023,1,Jan,1,31.53
2023-01-02,East,Electronics,Online,3,202.68,608.04,503.71,104.33,2023,1,Jan,1,17.16
2023-01-02,East,Electronics,Online,1,209.34,209.34,141.02,68.32,2023,1,Jan,1,32.64
2023-01-02,Central,Electronics,Retail Store,2,165.39,330.78,235.68,95.1,2023,1,Jan,1,28.75
2023-01-02,West,Electronics,Retail Store,5,174.7,873.5,745.88,127.62,2023,1,Jan,1,14.61
2023-01-02,North,Home & Kitchen,Retail Store,3,68.64,205.92,170.48,35.44,2023,1,Jan,1,17.21
2023-01-02,South,Home & Kitchen,Retail Store,1,62.43,62.43,52.26,10.17,2023,1,Jan,1,16.29
2023-01-02,East,Home & Kitchen,Online,4,56.71,226.84,174.08,52.76,2023,1,Jan,1,23.26
2023-01-02,Central,Electronics,Online,1,169.64,169.64,147.84,21.8,2023,1,Jan,1,12.85
2023-01-02,North,Apparel,Distributor,3,44.18,132.54,87.01,45.53,2023,1,Jan,1,34.35
2023-01-02,Central,Groceries,Online,2,26.59,53.18,40.01,13.17,2023,1,Jan,1,24.76
2023-01-03,East,Groceries,Retail Store,9,28.1,252.9,179.63,73.27,2023,1,Jan,1,28.97
2023-01-03,North,Home & Kitchen,Online,5,64.62,323.1,236.52,86.58,2023,1,Jan,1,26.8
2023-01-03,South,Home & Kitchen,Retail Store,1,73.41,73.41,61.85,11.56,2023,1,Jan,1,15.75
2023-01-03,East,Apparel,Online,1,50.29,50.29,43.73,6.56,2023,1,Jan,1,13.04
2023-01-03,North,Electronics,Distributor,1,186.68,186.68,160.08,26.6,2023,1,Jan,1,14.25
2023-01-03,East,Home & Kitchen,Online,1,52.47,52.47,44.77,7.7,2023,1,Jan,1,14.68
2023-01-03,West,Electronics,Online,1,158.08,158.08,130.01,28.07,2023,1,Jan,1,17.76
2023-01-03,East,Home & Kitchen,Retail Store,2,74.81,149.62,104.28,45.34,2023,1,Jan,1,30.3
2023-01-03,North,Home & Kitchen,Retail Store,4,53.68,214.72,162.71,52.01,2023,1,Jan,1,24.22
2023-01-03,South,Home & Kitchen,Online,1,78.73,78.73,62.76,15.97,2023,1,Jan,1,20.28
2023-01-03,Central,Apparel,Online,3,46.48,139.44,105.3,34.14,2023,1,Jan,1,24.48
2023-01-03,West,Groceries,Online,6,27.14,162.84,109.1,53.74,2023,1,Jan,1,33.0
2023-01-03,East,Sports & Fitness,Online,3,68.13,204.39,145.04,59.35,2023,1,Jan,1,29.04
2023-01-03,Central,Apparel,Online,5,48.83,244.15,209.4,34.75,2023,1,Jan,1,14.23
2023-01-03,East,Home & Kitchen,Retail Store,1,68.78,68.78,55.42,13.36,2023,1,Jan,1,19.42
2023-01-04,South,Home & Kitchen,Retail Store,3,53.48,160.44,130.82,29.62,2023,1,Jan,1,18.46
2023-01-04,North,Sports & Fitness,Retail Store,4,61.31,245.24,176.57,68.67,2023,1,Jan,1,28.0
2023-01-04,South,Groceries,Online,5,17.73,88.65,58.24,30.41,2023,1,Jan,1,34.3
2023-01-04,North,Electronics,Online,7,230.6,1614.2,1281.32,332.88,2023,1,Jan,1,20.62
2023-01-04,South,Sports & Fitness,Online,8,44.31,354.48,273.73,80.75,2023,1,Jan,1,22.78
2023-01-04,South,Apparel,Retail Store,1,53.49,53.49,40.2,13.29,2023,1,Jan,1,24.85
2023-01-04,North,Groceries,Retail Store,8,18.53,148.24,96.81,51.43,2023,1,Jan,1,34.69
2023-01-04,South,Sports & Fitness,Online,5,46.31,231.55,166.43,65.12,2023,1,Jan,1,28.12
2023-01-04,West,Groceries,Online,2,18.23,36.46,27.48,8.98,2023,1,Jan,1,24.63
